Scenario,TimeIndex,Hour,chargerAccessType,Annual_avg_daily_pluggedTime_min,Annual_total_pluggedTime_min,Annual_avg_daily_chargingTime_min,Annual_total_chargingTime_min,Annual_avg_daily_chargingCost_SEK,Annual_total_chargingCost_SEK,Annual_avg_daily_energy_kWh,Annual_total_energy_kWh,Annual_avg_daily_sessionStarts,Annual_total_sessionStarts
VIPV50_Wp1000,38,18.5,work,11397.614726027397,4160129.375,593.3538812785388,216574.16666666666,331.05320001478674,120834.41800539716,82.76330000369668,30208.60450134929,3.136986301369863,1145.0
VIPV50_Wp1000,39,19.0,home,295086.7449771691,107706661.91666672,136578.33276255702,49851091.45833331,41043.416973614054,14980847.19536913,13843.819371690575,5052994.07066706,571.9794520547945,208772.5
VIPV50_Wp1000,39,19.0,public,66186.65844748859,24158130.333333336,18237.57716894977,6656715.666666666,21739.02666159302,7934744.731481452,3952.550302107825,1442680.860269356,191.73972602739727,69985.0
VIPV50_Wp1000,39,19.0,work,8098.497260273973,2955951.5,483.35319634703194,176423.91666666666,262.7375143873847,95899.19275139541,65.68437859684617,23974.798187848854,5.006849315068493,1827.5
VIPV50_Wp1000,40,19.5,home,309459.6165525114,112952760.04166667,128617.21997716892,46945285.29166666,38855.38114054769,14182214.116299907,13110.085541621673,4785181.22269191,522.0205479452055,190537.5
VIPV50_Wp1000,40,19.5,public,64033.96735159817,23372398.083333332,14501.115525114155,5292907.166666667,17348.640990019878,6332253.9613572555,3154.298361821794,1151318.9020649549,181.84246575342465,66372.5
VIPV50_Wp1000,40,19.5,work,6232.2275114155245,2274763.0416666665,454.0949771689498,165744.6666666667,250.20959819446256,91326.50334097883,62.55239954861564,22831.625835244708,6.226027397260274,2272.5
VIPV50_Wp1000,41,20.0,home,320834.0285388128,117104420.41666667,118389.66449771685,43212227.54166665,31096.741428845515,11350310.621528612,12118.22832405737,4423153.33828094,357.14383561643837,130357.5
VIPV50_Wp1000,41,20.0,public,63484.74178082191,23171930.749999996,11774.325684931508,4297628.875,14035.784207066425,5123061.235579245,2551.960764921167,931465.6791962261,114.96575342465754,41962.5
VIPV50_Wp1000,41,20.0,work,4595.440296803654,1677335.7083333335,374.991095890411,136871.75,219.1409013617517,79986.42899703937,54.785225340437925,19996.607249259843,0.0,0.0
VIPV50_Wp1000,42,20.5,home,328877.8924657534,120040430.75,105949.27694063933,38671486.08333336,27891.19798683673,10180287.265195407,10881.301639897827,3971675.098562707,310.8972602739726,113477.5
VIPV50_Wp1000,42,20.5,public,62578.592922374424,22841186.416666664,9327.564840182651,3404561.1666666674,11046.978635548361,4032147.201975152,2008.5415700997025,733117.6730863914,96.78082191780823,35325.0
VIPV50_Wp1000,42,20.5,work,2944.3335616438358,1074681.75,140.6224885844749,51327.208333333336,89.59230265909837,32701.190470570902,22.39807566477459,8175.2976176427255,0.0,0.0
VIPV50_Wp1000,43,21.0,home,336787.96198630147,122927606.12500003,93628.67545662101,34174466.54166667,23458.80353083685,8562463.28875545,9654.286562665577,3523814.5953729358,272.97945205479454,99637.5
VIPV50_Wp1000,43,21.0,public,61217.13664383562,22344254.875,6862.655593607306,2504869.291666667,8188.987018130225,2988980.261617532,1488.9067305691317,543450.9566577331,64.3082191780822,23472.5
VIPV50_Wp1000,43,21.0,work,1884.6493150684933,687897.0,25.05890410958904,9146.5,17.75503813740145,6480.588920151529,4.438759534350362,1620.1472300378823,0.6232876712328768,227.5
VIPV50_Wp1000,44,21.5,home,343373.10410958907,125331183.0,82525.91210045666,30121957.91666668,20784.72209989345,7586423.566461109,8545.234793274401,3119010.6995451567,241.1164383561644,88007.5
VIPV50_Wp1000,44,21.5,public,60501.39931506849,22083010.75,5096.5350456621,1860235.2916666665,6147.927061979419,2243993.377622488,1117.8049203598946,407998.7959313615,52.417808219178085,19132.5
VIPV50_Wp1000,44,21.5,work,1316.9529680365297,480687.8333333334,19.596689497716895,7152.791666666667,6.611130930679464,2413.0627896980045,1.652782732669866,603.2656974245011,0.6301369863013698,230.0
VIPV50_Wp1000,45,22.0,home,359549.5223744291,131235575.66666663,81385.93230593608,29705865.291666668,16810.205700437386,6135725.080659646,8405.102850218691,3067862.5403298223,664.2534246575342,242452.5
VIPV50_Wp1000,45,22.0,public,61253.483105022824,22357521.333333332,5259.290753424657,1919641.1249999998,6352.976710097443,2318836.499185567,1155.0866745631715,421606.63621555764,85.5068493150685,31210.0
VIPV50_Wp1000,45,22.0,work,814.527397260274,297302.5,15.480365296803653,5650.333333333333,3.751552680477493,1369.3167283742848,0.9378881701193732,342.3291820935712,0.0,0.0
VIPV50_Wp1000,46,22.5,home,382685.6292237442,139680254.66666663,88497.2247716895,32301487.041666668,18081.450783901866,6599729.536124181,9040.725391950931,3299864.7680620896,721.6849315068494,263415.0
VIPV50_Wp1000,46,22.5,public,63976.6852739726,23351490.125,7511.8460045662105,2741823.791666667,8920.493225116708,3255980.0271675987,1621.9078591121297,591996.3685759273,124.65068493150685,45497.5
VIPV50_Wp1000,46,22.5,work,368.1530821917808,134375.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp1000,47,23.0,home,402505.0396118721,146914339.4583333,94594.32442922372,34526928.41666666,19218.41312364916,7014720.790131943,9609.20656182458,3507360.3950659717,650.8698630136986,237567.5
VIPV50_Wp1000,47,23.0,public,66671.05171232877,24334933.875,9157.419520547945,3342458.125,10783.582486698728,3936007.6076450357,1960.6513612179501,715637.7468445518,111.56849315068493,40722.5
